2026-09-22 03:08:30 | INFO     | cocacola.Fixtures        | ==== TEST START | tests/ui/auth/test_signup_ui.py::TestSignupUi::test_signup_duplicate_email[chromium] | layer=ui ====
2026-09-22 03:08:30 | INFO     | cocacola.Fixtures        | Generated test user autotest_user_20260922_030830_43adc543@example.com
2026-09-22 03:08:30 | INFO     | cocacola.SignupPage      | Navigating to http://127.0.0.1:8765/signup
2026-09-22 03:08:30 | INFO     | cocacola.CookieBanner    | Cookie banner displayed - accepting
2026-09-22 03:08:30 | INFO     | cocacola.SignupPage      | Entering first name: Brenda
2026-09-22 03:08:30 | INFO     | cocacola.SignupPage      | Entering last name: Bell
2026-09-22 03:08:30 | INFO     | cocacola.SignupPage      | Entering email: autotest_user_20260922_030830_43adc543@example.com
2026-09-22 03:08:30 | INFO     | cocacola.SignupPage      | Entering password: *****
2026-09-22 03:08:30 | INFO     | cocacola.SignupPage      | Entering zip code: 07694
2026-09-22 03:08:30 | INFO     | cocacola.SignupPage      | Clicking Create account button
2026-09-22 03:08:30 | INFO     | cocacola.ProfilePage     | Clicking Sign out link
2026-09-22 03:08:30 | INFO     | cocacola.SignupPage      | Navigating to http://127.0.0.1:8765/signup
2026-09-22 03:08:33 | INFO     | cocacola.CookieBanner    | Cookie banner not displayed - nothing to do
2026-09-22 03:08:33 | INFO     | cocacola.SignupPage      | Entering first name: Brenda
2026-09-22 03:08:33 | INFO     | cocacola.SignupPage      | Entering last name: Bell
2026-09-22 03:08:33 | INFO     | cocacola.SignupPage      | Entering email: autotest_user_20260922_030830_43adc543@example.com
2026-09-22 03:08:33 | INFO     | cocacola.SignupPage      | Entering password: *****
2026-09-22 03:08:33 | INFO     | cocacola.SignupPage      | Entering zip code: 07694
2026-09-22 03:08:33 | INFO     | cocacola.SignupPage      | Clicking Create account button
2026-09-22 03:08:34 | INFO     | cocacola.Fixtures        | ==== TEST END   | test_signup_duplicate_email[chromium] | PASSED ====
