2026-09-09 03:08:26 | INFO     | cocacola.Fixtures            | gw0 | test_signup_duplicate_email[chromium] | ==== TEST START | tests/ui/auth/test_signup_ui.py::TestSignupUi::test_signup_duplicate_email[chromium] | layer=ui ====
2026-09-09 03:08:26 | INFO     | cocacola.Fixtures            | gw0 | test_signup_duplicate_email[chromium] | Generated test user autotest_user_20260909_030826_c1fd481d@example.com
2026-09-09 03:08:26 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Navigating to http://127.0.0.1:8765/signup
2026-09-09 03:08:26 | INFO     | cocacola.CookieBanner        | gw0 | test_signup_duplicate_email[chromium] | Cookie banner displayed - accepting
2026-09-09 03:08:26 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Entering first name: Cameron
2026-09-09 03:08:26 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Entering last name: Manning
2026-09-09 03:08:26 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Entering email: autotest_user_20260909_030826_c1fd481d@example.com
2026-09-09 03:08:26 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Entering password: *****
2026-09-09 03:08:26 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Entering zip code: 53198
2026-09-09 03:08:26 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Clicking Create account button
2026-09-09 03:08:26 | INFO     | cocacola.ProfilePage         | gw0 | test_signup_duplicate_email[chromium] | Clicking Sign out link
2026-09-09 03:08:26 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Navigating to http://127.0.0.1:8765/signup
2026-09-09 03:08:29 | INFO     | cocacola.CookieBanner        | gw0 | test_signup_duplicate_email[chromium] | Cookie banner not displayed - nothing to do
2026-09-09 03:08:29 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Entering first name: Cameron
2026-09-09 03:08:29 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Entering last name: Manning
2026-09-09 03:08:29 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Entering email: autotest_user_20260909_030826_c1fd481d@example.com
2026-09-09 03:08:29 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Entering password: *****
2026-09-09 03:08:29 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Entering zip code: 53198
2026-09-09 03:08:29 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Clicking Create account button
2026-09-09 03:08:30 | INFO     | cocacola.Fixtures            | gw0 | test_signup_duplicate_email[chromium] | ==== TEST END   | test_signup_duplicate_email[chromium] | PASSED ====
